0	2	3992
1	2	4236
2	2	631
3	2	808
4	2	4152
5	0	4669
5	1	4192
6	0	2744
6	1	4192
7	2	846
8	0	4669
8	1	600
9	2	686
10	2	3834
11	2	4602
12	2	3907
13	0	3137
13	1	600
14	2	528
15	0	4669
15	1	846
16	2	3094
17	2	3074
18	2	1907
19	2	3434
20	2	3266
21	2	3633
22	2	273
23	2	1915
24	2	566
25	2	802
26	2	5105
27	2	2292
28	2	3384
29	2	205
30	0	4669
30	1	1611
31	2	2521
32	0	1030
32	1	3156
33	2	5096
34	0	1839
34	1	3094
35	2	4913
36	0	2744
36	1	3094
37	2	2175
38	0	2744
38	1	4614
39	2	3531
40	2	1564
41	2	80
42	2	4834
43	0	1942
43	1	4192
44	2	534
45	2	1057
46	0	4669
46	1	3907
47	2	4168
48	2	5076
49	0	4669
49	1	2806
50	2	1214
51	0	1902
51	1	4614
52	0	770
52	1	600
53	2	3595
54	2	2862
55	2	3372
56	2	1624
57	0	4669
57	1	3698
58	2	1199
59	0	1548
59	1	600
60	2	4713
61	0	3137
61	1	539
62	0	3137
62	1	3907
63	0	2744
63	1	2806
64	2	4263
65	2	2610
66	2	1331
67	0	677
67	1	3156
68	0	1091
68	1	4192
69	2	2197
70	2	2844
71	2	939
72	2	3299
73	0	2744
73	1	4861
74	0	2744
74	1	4313
75	2	4348
76	2	3473
77	2	4710
78	0	115
78	1	4192
79	0	997
79	1	4192
80	2	1565
81	0	2744
81	1	1139
82	0	1548
82	1	4908
83	0	4477
83	1	4192
84	2	5135
85	0	3842
85	1	600
86	0	2711
86	1	686
87	0	2801
87	1	4614
88	0	2744
88	1	1915
89	2	2483
90	2	2034
91	0	4669
91	1	1331
92	2	120
93	2	3631
94	0	4167
94	1	4313
95	2	448
96	0	4669
96	1	1322
97	0	770
97	1	4236
98	0	1548
98	1	539
99	0	1548
99	1	4313
100	0	4167
100	1	846
101	2	2542
102	2	3785
103	0	2039
103	1	846
104	2	890
105	2	2248
106	0	965
106	1	4203
107	2	2013
108	2	1367
109	0	2744
109	1	3286
110	2	4624
111	2	3124
112	2	310
113	0	1896
113	1	1611
114	2	2773
115	0	115
115	1	273
116	0	3813
116	1	1352
117	0	770
117	1	3698
118	0	1548
118	1	808
119	2	4397
120	2	4174
121	0	1902
121	1	2320
122	0	4669
122	1	2557
123	0	1902
123	1	273
124	2	462
125	2	1583
126	2	2500
127	0	2711
127	1	808
128	2	1
129	0	2744
129	1	808
130	2	1879
131	2	3959
132	2	926
133	0	2744
133	1	1331
134	2	4239
135	0	2043
135	1	4614
136	0	1421
136	1	3156
137	0	1254
137	1	846
138	2	1412
139	0	1902
139	1	2570
140	2	5104
141	0	4669
141	1	4203
142	0	4669
142	1	1706
143	0	4477
143	1	4236
144	0	2711
144	1	3286
145	0	3842
145	1	273
146	2	3596
147	2	2897
148	0	1839
148	1	4614
149	0	1857
149	1	846
150	2	82
151	0	2744
151	1	1338
152	0	799
152	1	3606
153	0	1548
153	1	3698
154	0	4669
154	1	4337
155	0	2801
155	1	846
156	2	5001
157	0	2744
157	1	3907
158	2	595
159	2	1920
160	0	591
160	1	4222
161	0	1839
161	1	4908
162	0	4198
162	1	5075
163	0	1942
163	1	3156
164	0	1942
164	1	1611
165	0	3813
165	1	4908
166	0	2711
166	1	4908
167	2	2754
168	2	1875
169	2	918
170	0	3337
170	1	3156
171	0	1839
171	1	1915
172	2	3528
173	2	1635
174	0	1896
174	1	4908
175	0	1548
175	1	3708
176	0	1902
176	1	3708
177	0	997
177	1	4908
178	0	1839
178	1	4861
179	2	4091
180	2	1432
181	0	4198
181	1	600
182	0	3137
182	1	4919
183	0	4477
183	1	4337
184	2	1036
185	2	988
186	0	1548
186	1	2557
187	0	1548
187	1	4631
188	2	4727
189	0	770
189	1	3907
190	2	4075
191	2	1734
192	0	3137
192	1	686
193	2	2154
194	0	115
194	1	3698
195	0	4669
195	1	1190
196	2	2537
197	0	1942
197	1	808
198	0	1152
198	1	4021
199	2	4015
200	0	3137
200	1	3094
201	2	2737
202	2	2944
203	0	4477
203	1	3992
204	2	750
205	0	2043
205	1	4192
206	0	1857
206	1	4222
207	0	4669
207	1	1242
208	0	4336
208	1	600
209	0	997
209	1	846
210	0	1548
210	1	4919
211	2	1562
212	2	3123
213	2	666
214	2	3868
215	0	4669
215	1	4735
216	0	1548
216	1	1214
217	0	4671
217	1	808
218	2	1509
219	0	2744
219	1	1136
220	2	4667
221	2	4720
222	0	2711
222	1	4021
223	2	1476
224	0	1152
224	1	205
225	0	4477
225	1	846
226	2	1282
227	0	1030
227	1	846
228	0	4669
228	1	3606
229	0	2711
229	1	3964
230	0	4671
230	1	4236
231	0	1548
231	1	1139
232	0	1902
232	1	4001
233	0	3842
233	1	2320
234	0	4477
234	1	539
235	0	4552
235	1	4236
236	0	3137
236	1	4222
237	0	4341
237	1	846
238	2	2272
239	0	4451
239	1	600
240	0	965
240	1	600
241	2	4391
242	2	684
243	2	4798
244	0	770
244	1	808
245	2	4981
246	0	1839
246	1	1611
247	2	326
248	2	2280
249	0	770
249	1	4313
250	2	682
251	2	3235
252	2	4005
253	0	1254
253	1	4908
254	2	202
255	2	607
256	2	3350
257	2	4418
258	0	2744
258	1	1190
259	0	115
259	1	3992
260	0	1839
260	1	631
261	0	4167
261	1	4908
262	0	1839
262	1	1139
263	0	3443
263	1	631
264	0	2547
264	1	4192
265	2	3301
266	2	5126
267	2	2143
268	0	1928
268	1	600
269	0	669
269	1	3834
270	2	4366
271	2	4924
272	0	3842
272	1	4313
273	2	3342
274	2	4974
275	0	4669
275	1	4001
276	2	1842
277	0	799
